Certificate name,Issued by,Type,Key size,Sig alg,Serial number,Expires,EV policy,Fingerprint (SHA-256)
DigiCert Global Root G2 ,DigiCert Global Root G2 ,RSA ,2048 bits ,SHA-256 ,03 3A F1 E6 A7 11 A9 A0 BB 28 64 B1 1D 09 FA E5 ,"12:00:00 Jan 15, 2038 ",2.16.840.1.114412.2.1 2.23.140.1.1 ,CB 3C CB B7 60 31 E5 E0 13 8F 8D D3 9A 23 F9 DE 47 FF C3 5E 43 C1 14 4C EA 27 D4 6A 5A B1 CB 5F 
DigiCert Global Root G3 ,DigiCert Global Root G3 ,ECDSA ,384 bits ,SHA-384 ,05 55 56 BC F2 5E A4 35 35 C3 A4 0F D5 AB 45 72 ,"12:00:00 Jan 15, 2038 ",2.16.840.1.114412.2.1 2.23.140.1.1 ,31 AD 66 48 F8 10 41 38 C7 38 F3 9E A4 32 01 33 39 3E 3A 18 CC 02 29 6E F9 7C 2A C9 EF 67 31 D0 
DigiCert High Assurance EV Root CA ,DigiCert High Assurance EV Root CA ,RSA ,2048 bits ,SHA-1 ,02 AC 5C 26 6A 0B 40 9B 8F 0B 79 F2 AE 46 25 77 ,"00:00:00 Nov 10, 2031 ",2.16.840.1.114412.1.3.0.2 2.16.840.1.114412.2.1 2.23.140.1.1 ,74 31 E5 F4 C3 C1 CE 46 90 77 4F 0B 61 E0 54 40 88 3B A9 A0 1E D0 0B A6 AB D7 80 6E D3 B1 18 CF 
DigiCert Trusted Root G4 ,DigiCert Trusted Root G4 ,RSA ,4096 bits ,SHA-384 ,05 9B 1B 57 9E 8E 21 32 E2 39 07 BD A7 77 75 5C ,"12:00:00 Jan 15, 2038 ",2.16.840.1.114412.2.1 2.23.140.1.1 ,55 2F 7B DC F1 A7 AF 9E 6C E6 72 01 7F 4F 12 AB F7 72 40 C7 8E 76 1A C2 03 D1 D9 D2 0A C8 99 88 
E-Tugra Certification Authority ,E-Tugra Certification Authority ,RSA ,4096 bits ,SHA-256 ,6A 68 3E 9C 51 9B CB 53 ,"12:09:48 Mar 3, 2023 ",2.16.792.3.0.4.1.1.4 2.23.140.1.1 ,B0 BF D5 2B B0 D7 D9 BD 92 BF 5D 4D C1 3D A2 55 C0 2C 54 2F 37 83 65 EA 89 39 11 F5 5E 55 F2 3C 
Echoworx Root CA2 ,Echoworx Root CA2 ,RSA ,2048 bits ,SHA-1 ,00 ,"10:49:13 Oct 7, 2030 ",Not EV ,66 39 D1 3C AB 85 DF 1A D9 A2 3C 44 3B 3A 60 90 1E 2B 13 8D 45 6F A7 11 83 57 81 08 88 4E C6 BF 
emSign ECC Root CA - G3 ,emSign ECC Root CA - G3 ,ECDSA ,384 bits ,SHA-384 ,3C F6 07 A9 68 70 0E DA 8B 84 ,"18:30:00 Feb 18, 2043 ",2.23.140.1.1 ,86 A1 EC BA 08 9C 4A 8D 3B BE 27 34 C6 12 BA 34 1D 81 3E 04 3C F9 E8 A8 62 CD 5C 57 A3 6B BE 6B 
emSign Root CA - G1 ,emSign Root CA - G1 ,RSA ,2048 bits ,SHA-256 ,31 F5 E4 62 0C 6C 58 ED D6 D8 ,"18:30:00 Feb 18, 2043 ",2.23.140.1.1 ,40 F6 AF 03 46 A9 9A A1 CD 1D 55 5A 4E 9C CE 62 C7 F9 63 46 03 EE 40 66 15 83 3D C8 C8 D0 03 67 
Entrust Root Certification Authority - EC1 ,Entrust Root Certification Authority - EC1 ,ECDSA ,384 bits ,SHA-384 ,00 A6 8B 79 29 00 00 00 00 50 D0 91 F9 ,"15:55:36 Dec 18, 2037 ",2.16.840.1.114028.10.1.2 ,02 ED 0E B2 8C 14 DA 45 16 5C 56 67 91 70 0D 64 51 D7 FB 56 F0 B2 AB 1D 3B 8E B0 70 E5 6E DF F5 
Entrust Root Certification Authority - G2 ,Entrust Root Certification Authority - G2 ,RSA ,2048 bits ,SHA-256 ,4A 53 8C 28 ,"17:55:54 Dec 7, 2030 ",2.16.840.1.114028.10.1.2 ,43 DF 57 74 B0 3E 7F EF 5F E4 0D 93 1A 7B ED F1 BB 2E 6B 42 73 8C 4E 6D 38 41 10 3D 3A A7 F3 39 
Entrust Root Certification Authority - G4 ,Entrust Root Certification Authority - G4 ,RSA ,4096 bits ,SHA-256 ,00 D9 B5 43 7F AF A9 39 0F 00 00 00 00 55 65 AD 58 ,"11:41:16 Dec 27, 2037 ",2.16.840.1.114028.10.1.2 2.23.140.1.1 ,DB 35 17 D1 F6 73 2A 2D 5A B9 7C 53 3E C7 07 79 EE 32 70 A6 2F B4 AC 42 38 37 24 60 E6 F0 1E 88 
